instance,best-solver(s)
spot5/log/1401.wcsp.log.wcnf.gz,['LinSBPS2018']
spot5/log/1403.wcsp.log.wcnf.gz,['LinSBPS2018']
spot5/dir/1405.wcsp.dir.wcnf.gz,"['sls-mcs2', 'sls-mcs']"
spot5/log/1405.wcsp.log.wcnf.gz,['LinSBPS2018']
spot5/log/1407.wcsp.log.wcnf.gz,['LinSBPS2018']
hs-timetabling/BrazilInstance1.xml.wcnf.gz,['Loandra']
hs-timetabling/BrazilInstance2.xml.wcnf.gz,"['Loandra', 'LinSBPS2018']"
hs-timetabling/BrazilInstance4.xml.wcnf.gz,['Loandra']
hs-timetabling/BrazilInstance5.xml.wcnf.gz,['LinSBPS2018']
hs-timetabling/BrazilInstance6.xml.wcnf.gz,['LinSBPS2018']
hs-timetabling/BrazilInstance7.xml.wcnf.gz,['TT-Open-WBO-Inc']
timetabling/EA07.lp.sm-extracted.wcnf.gz,"['TT-Open-WBO-Inc', 'Loandra', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'LinSBPS2018', 'Open-WBO-g', 'SATLike', 'sls-mcs2', 'Open-WBO-ms', 'sls-mcs', 'uwrmaxsat-inc']"
hs-timetabling/FinlandHighSchool.xml.wcnf.gz,['TT-Open-WBO-Inc']
hs-timetabling/FinlandSecondarySchool.xml.wcnf.gz,['LinSBPS2018']
hs-timetabling/ItalyInstance1.xml.wcnf.gz,"['TT-Open-WBO-Inc', 'LinSBPS2018', 'uwrmaxsat-inc']"
hs-timetabling/ItalyInstance4.xml.wcnf.gz,['TT-Open-WBO-Inc']
maxcut/dimacs_mod/MANN_a27.clq.wcnf.gz,"['Open-WBO-Inc(inc-bmo-satlike)', 'SATLike', 'sls-mcs2', 'sls-mcs']"
maxcut/dimacs_mod/MANN_a81.clq.wcnf.gz,"['SATLike', 'sls-mcs2', 'sls-mcs']"
min-width/MinWidthCB_mitdbsample_100_43_1k_5s_1t_5.wcnf.gz,['Loandra']
min-width/MinWidthCB_mitdbsample_100_43_1k_5s_2t_5.wcnf.gz,"['TT-Open-WBO-Inc', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
min-width/MinWidthCB_mitdbsample_200_26_1k_10s_1t_10.wcnf.gz,['sls-mcs']
min-width/MinWidthCB_mitdbsample_200_32_1k_10s_1t_10.wcnf.gz,['LinSBPS2018']
min-width/MinWidthCB_mitdbsample_200_32_1k_10s_1t_12.wcnf.gz,"['TT-Open-WBO-Inc', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
min-width/MinWidthCB_mitdbsample_200_43_1k_4s_2t_6.wcnf.gz,['Loandra']
min-width/MinWidthCB_mitdbsample_200_64_1k_10s_1t_12.wcnf.gz,['sls-mcs']
min-width/MinWidthCB_mitdbsample_200_64_1k_10s_3t_10.wcnf.gz,"['TT-Open-WBO-Inc', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
min-width/MinWidthCB_mitdbsample_200_64_1k_2s_1t_4.wcnf.gz,['sls-mcs2']
min-width/MinWidthCB_mitdbsample_300_32_1k_15s_1t_17.wcnf.gz,"['TT-Open-WBO-Inc', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
min-width/MinWidthCB_mitdbsample_300_43_1k_6s_1t_8.wcnf.gz,['sls-mcs']
min-width/MinWidthCB_mitdbsample_300_64_1k_3s_3t_3.wcnf.gz,['Loandra']
min-width/MinWidthCB_power_1000_24_1k_10s_1t_10.wcnf.gz,"['TT-Open-WBO-Inc', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
min-width/MinWidthCB_power_1000_24_1k_10s_1t_12.wcnf.gz,['Loandra']
min-width/MinWidthCB_power_1000_24_1k_20s_2t_22.wcnf.gz,"['TT-Open-WBO-Inc', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
min-width/MinWidthCB_power_200_24_1k_10s_2t_10.wcnf.gz,['uwrmaxsat-inc']
min-width/MinWidthCB_power_600_24_1k_12s_2t_12.wcnf.gz,['Loandra']
BTBNSL/Rounded_BTWBNSL_Flag.BIC_TWBound_2.wcnf.gz,['Loandra']
BTBNSL/Rounded_BTWBNSL_Horse.BIC_TWBound_2.wcnf.gz,['Loandra']
BTBNSL/Rounded_BTWBNSL_Horse.BIC_TWBound_3.wcnf.gz,['Loandra']
BTBNSL/Rounded_BTWBNSL_Housing_TWBound_4.wcnf.gz,['Loandra']
BTBNSL/Rounded_BTWBNSL_Voting_TWBound_4.wcnf.gz,"['TT-Open-WBO-Inc', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)', 'Open-WBO-g', 'Open-WBO-ms']"
BTBNSL/Rounded_BTWBNSL_adult15N_TWBound_3.wcnf.gz,['Loandra']
BTBNSL/Rounded_BTWBNSL_alarm_100_1_3.scores_TWBound_4.wcnf.gz,['Loandra']
BTBNSL/Rounded_BTWBNSL_hailfinder_10000_1_3.scores_TWBound_2.wcnf.gz,['Loandra']
BTBNSL/Rounded_BTWBNSL_hailfinder_10000_1_3.scores_TWBound_4.wcnf.gz,['Loandra']
BTBNSL/Rounded_BTWBNSL_hailfinder_1000_1_3.scores_TWBound_3.wcnf.gz,"['TT-Open-WBO-Inc', 'Open-WBO-Inc(inc-bmo-satlike)', 'Open-WBO-Inc(inc-bmo-complete)']"
